Generator,Run,Loss,Time,Fit,Cos Sim,Est Rank
rand,83,gamma,0.423214,0.810949,0.981982,32.000000,
rand,83,huber (0.25),0.027413,0.000635,0.173396,32.000000,
rand,83,beta (0.3),0.597705,0.811052,0.981987,32.000000,
rand,84,normal,0.191846,0.811078,0.981992,32.000000,
rand,84,rayleigh,0.636602,0.788562,0.981994,32.000000,
rand,84,gamma,0.415289,0.811067,0.981990,32.000000,
rand,84,huber (0.25),0.024828,0.000638,0.174004,32.000000,
rand,84,beta (0.3),0.621023,0.811065,0.981990,32.000000,
rand,85,normal,0.198713,0.810943,0.981966,32.000000,
rand,85,rayleigh,0.667265,0.788410,0.981968,32.000000,
rand,85,gamma,0.413094,0.810839,0.981960,32.000000,
rand,85,huber (0.25),0.025969,0.000637,0.173692,32.000000,
rand,85,beta (0.3),0.609249,0.810937,0.981965,32.000000,
rand,86,normal,0.189487,0.810990,0.981975,32.000000,
rand,86,rayleigh,0.682131,0.788483,0.981978,32.000000,
rand,86,gamma,0.410861,0.810886,0.981969,32.000000,
rand,86,huber (0.25),0.024604,0.000636,0.173534,32.000000,
rand,86,beta (0.3),0.620131,0.810988,0.981975,32.000000,
rand,87,normal,0.189236,0.811153,0.982007,32.000000,
rand,87,rayleigh,0.711207,0.788605,0.982011,32.000000,
rand,87,gamma,0.482993,0.811157,0.982007,32.000000,
rand,87,huber (0.25),0.026937,0.000635,0.173229,32.000000,
rand,87,beta (0.3),0.613768,0.811154,0.982007,32.000000,
rand,88,normal,0.190412,0.811076,0.981992,32.000000,
rand,88,rayleigh,0.700755,0.788560,0.981993,32.000000,
rand,88,gamma,0.419323,0.810948,0.981984,32.000000,
rand,88,huber (0.25),0.024837,0.000637,0.173847,32.000000,
rand,88,beta (0.3),0.596181,0.811066,0.981990,32.000000,
rand,89,normal,0.205818,0.811186,0.982013,32.000000,
